text,label
"terpapar angin AC pada suhu dingin secara langsung di muka memicu cerebral palsy, mitos atau fakta?",0
Oh gini caranya,0
"mungkin maksudnya bell's palsy, bukan cerebral palsy?",0
nah iya bell's palsy,0
Cerebral palsy itu kelumpuhan otak bang,0
"bisa bang, rutinin aja smpe kejadian",0
kenapa Dokter Tirta tidak pernah podcast dengan Dokter Richard lee,0
Berarti yang minum tolak angin di campur teh.. itu gabaik ya? Atau bagaimana,0
kalau dalam bahasa Sunda mah kalikiben,0
"Mau tanya donk dr tirta kan seorang yg pintar dg ego yg tinggi, standar pd saat memilih pasangan hidup seperti apa? ",0
berarti buat yang kurus banget kurang gizi cocoknya makan kulit ayam ya ? ? ?,0
benarkah BAK sambil jongkok lebih sehat daripada sambil berdiri?,0
minum kopi bikin sering kentut bahaya tidak tuh dok?,0
Dok mukanya mirip Ip Man Donny Yen,0
Q waktu rutin minum obat flek paru kan tabletnya bau bgt tuh dokMinumnya sama tehMual donk kalo minum obat flek paru pake air putib,0
Tengkurap dalam tidur apakah berdampak jangka panjang?,0
"Dok, pola hidup setelah operasi usus buntu gimna dok",0
Situs rekomendasi terbaik𝗚𝗨𝗡𝗨𝗡𝗚𝑾𝗜𝗡,0
EDUKSI SENG BAGUSS INI COOKKKK...TAMBAH PENGETAHUAN KU ASUU BAJINGANPENTENG MURING RA URUSAN,0
"Dokter tirta, numpang tanya, saya waktu kecil sekitar umur 4 tahun pernah demam, terus ibu saya memakai air teh menggoaok punggung dan dahi, kemudian 30 menit kemudian tumbuh banyak bulu-bulu kasar hitam, itu kenapa ya dok? Terima kasih",0
Minum obat pake kokakola wt f,0
"Dok apa bener ac bisa menyebabkan struk, temen saya dlu struk bibir menyon gegara ac,",0
"𝐑 𝐀 𝐃 𝐀 𝐑 𝟏𝟑𝟖 emang ga ada duanya, pelayanan VIP buat semua member 24 jam nonstop",1
"suka bgtt konten ini, dr tirta dan tim kocak abis",0
Habis minum obat trs minum kopi apakah meyebabkan kematian. Krn tetangga q habis minum obat trs minum kopi g lama meninggal,0
pertanyaan ketiga itu kalo bahasa jawanya suduken,0
Sengkil di tmpt gw,0
Kalau nyari yg gcor emng cocoknya di 𝑷𝑶𝑨𝟖𝟖 lek jawabannya,1
apakah semua suplemen atau vitamin yang dijual bebas benar benar aman?,0
Dokter tirta. Anak saya pemain sepakbola. Sebaik nya kalo mau bertanding sarapanya apa ya ? Dan waktu nya berapa jam sebelum main ya dok.? Anak saya berusia 14 tahun. Terimakasih ya dok ?,0
Dok izin bertanya kalau orang bungkuk dan skoliosis dibiarkan saja dalam beberapa tahun berbahaya ga dok dalam kesehatan,0
bledos,0
wkwkwkw,0
Klau makan ya aturan jgn berlebihan,0
"gk sia2 daftar di 𝐓𝐈𝐌𝟏𝟑𝟖 , member baru pasti dikasih jepe",1
"1. kalau kita lagi renang tiba tiba terjadi kram pada bagian perut itu kenapa dok, saya sering banget kaya gitu, padahal saya 1 minggu 1x renang, tapi pasti kram pada perut2. bagaimana GERD dapat membunuh manusia3. apakah terapi berhenti merokok (Nicotine Replacement Therapy (NRT)) itu beneran bisa membuat seseorang berhenti merokok?",0
Berarti bau durian bisa di jadikan terapi ya pak kalau kita suka ?,0
"Mau nanya dong, kalo lagi tidur tiba tiba kaki keram banget itu efek dari kecapean atau hal lain? Dan cara ngilanginnya cepetnya gimana yaa???",0
"wow more handsome rambutnya sdh td gondrong lagiiiii April 24, 2025",0
yang pasti yaa MGS88 doang lah,1
MGS88 jagonya ngasih kejutan,1
yang pasti yaa MGS88 doang lah,1
gokillll gokill gokillll di MGS88,1
gokillll gokill gokillll di MGS88,1
emang lagi ngasih MGS88,1
MGS88 ahhhhhhh sedappp main disini,1
emang lagi ngasih MGS88,1
Ngasih api neraka,0
kok ga gondrong dok?,0
Dok apakah memperbanyak makan anti oksidan bisa menguragi kemukinan terkena tumor,0
"Dok,kenapa dari duduk ke berdiri biasanya rasanya kliyengan ?",0
1 like liverpool g jd juara,0
mau tanya rambutnyr kmane dok?,0
Ibuku jg meninggal krn sakit kanker dan sampai sekarang masih bertanya2 knp bisa padahal selalu hidup sehat,0
"Dok, klok minum obat dari klinik dan dicampur vitamin yg kita beli sendiri boleh",0
Dok tanya dok... Apakah merokok dapat terkena diabetes,0
"dok, naek motor gapake jaket emang bikin paru2 basah?",0
,0
terima kasih dokter atas ilmu ne,0
aroma teraphy ocean escape itu enak banget,0
"Setelah kena kanker ovarium ganas,sangat sakit melalui operasi, Chemo, obat kanker,jadi paranoid dgn sgla mkanan ultra proses,tepung2, dn manis dan mkanan yg proses GMO.sakit itu gk enak minum ja susah",0
knp sesak di dada tidak pernah hilang?,0
"Dok,setelah minum kopi, se jam kemudian minum soda amankah?",0
"mencium bau rerumputan yang sedang dipangkas terasa tenang, mitos atau fakta?",0
"mantap, nnton penjelasan dokter tirta smabil makan lalapan kulit ayam",0
nyimak,0
"Terpapar film drakor terus menerus,. apakah dapat menyebabkan halu ?",0
"Dok, apa sebab alergi? Krn dlu saya tidak apa-apa saat makan kacang tapi sekarang saya alergi setiap makan kacang?",0
Habis makan mangga muda bolehkah minum obat?,0
"Izin dok, di ada typo di caption nya, nama yg benar itu Side Stitch, atau bahasa medisnya ETAP (Exercise-Related Transient Abdominal Pain) Overall thankyou so much ilmunya dok, aku sering denger podcast dokter tirta untuk edukasi orang2 awam",0
Dok kalo kita posisi lagi berkegiatan tiba2 dibawah dada sebelah kanan seperti tertusuk kira2 kenapa ya,0
"Dok,saya setiap malam kira jam 9/10,sering makan apel dan minumnya susu(indomilk/Frisian flag),yang jadi pertanyaan,apakah boleh dok makan apel dibarengin minumnya susu?",0
Bang apa bener SEX CARA DNA MELANJUTKAN KEHIDUPANNYA,0
"DOK, COBA COLLAB SAMA V-TUBER KAELA KOVALSKIA... BANYAK HAL YANG MENARIK DARI KAELA SENDIRI DOK... SEPERTI MAKAN NASI PAKE JERUK... NANTI BISA DI JELASKAN DOK KE KAELA NYA BAIK ATAU TIDAK NYA KALO MAKAN ITU DI CEMPLUNGIN SEKALIGUS, KATA DIA KALO MAKAN YANG SEPERTI ITU EFESIENSI WAKTU.COBA DULU DOK",0
"Mau Tanya mas hakim.. kalo dalam keadaan sakit batuk terkadang hawa panas seperti demam datang dan hilang, dan kotoran yang dikeluarkan berwarna putih setengah coklat terkadang juga hijau putih, air kencingnya berbusa kira² seperti itu sakit apa?",0
Dok apakah penyakit asam lambung ndak bisa sembuh,0
"Sudah bagus2 sekarang pertanyaan Netizen, kl dulu biasanya ga jauh2 dari colayy ,..",0
tp ada p*n*dol extra itu paracetamol + caffeine itu gmn dok,0
"beda lah, itukan udah dalam satu produk dan pastinya takarannya udah pas dan diuji",0
"pengen tau kenapa dibuat begitu, bukan cuma aman/ngga pas/ngga",0
"rekomendasi dari saya abangku 𝗛𝗘𝗥𝗖𝗨𝗟𝗘𝗦𝟴𝟵𝟴 Mudah JP, Ada SLOT DEMO JUGA",0
"sharing aja, temen ku kocaknya pernah minum kopi sehabis dia minum paracetamol. Beuhhh kepalanya kayak diputer-puter katanya",0
Bismillah semoga dijawab.Dok puasa autofagi itu durasinya berapa lama ya? Banyak yg bilang 16 Jam atau 18 Jam. Dan selama durasi puasa autofagi apakah diperbolehkan untuk intake cairan (air putih aja).,0
"Penyakit idiopatik menunjukkan bahwa ilmu manusia sangat terbatas. Maka saat ditimpa sakit, apalagi yang tidak jelas penyebabnya, kita perlu:1. Tetap Berikhtiar Mencari PengobatanAllah berfirman:Dan janganlah kamu membunuh dirimu. Sesungguhnya Allah Maha Penyayang kepadamu.(QS. An-Nisa: 29)Artinya, kita harus menjaga diri, berusaha sembuh, dan tidak menyerah.2. Banyak Doa dan TawakalRasulullah mengajarkan doa saat sakit:Allahumma Rabbannaas, adzhibil ba’sa, isyfi anta asy-Syaafii, laa syifaa’a illa syifaa’uka, syifaa’an laa yughaadiru saqaman.Artinya: “Ya Allah, Tuhan manusia, hilangkanlah penyakit ini, sembuhkanlah, Engkau Maha Penyembuh. Tidak ada kesembuhan kecuali dari-Mu, kesembuhan yang tidak meninggalkan sakit sedikitpun.”(HR. Bukhari dan Muslim)3. Introspeksi DiriTerkadang penyakit datang sebagai bentuk teguran, atau untuk membersihkan jiwa. Mari kita jadikan sakit sebagai momentum taubat, perbaikan pola hidup, dan lebih dekat kepada Allah.",0
"Dok ataupun mas hakim pleasee undang dokter specialist mata pleaseMata ku agak brmsalah pngen lebih tau banyak , mata ku sblah kanan kiri kaya ada jrawat di dlm ny rasanya gatell bgt dokkUdh ksh obag ttes dr dokter ttp gk smbuh ,",0
ada ga dok obat hernia selain operasi??,0
Sepatu nya Bagus cuyy .. Fokus ke sepatu Dr Tirta,0
dok kalau habis makan manis banyak baru minum cocacola aman nangk,0
"dok, kenapa kalo lari tiba tiba tenggorokan sampe dada terasa panas?",0
"Penjelasan yang sangat pas dan maksimal , trimakasih dr ..",0
